code_stock,year,predict_num,min_EPS,avg_EPS,max_EPS,avg_industry_EPS,min_RP,avg_RP,max_RP,avg_industry_RP
600085,2021,4,0.80,0.84,0.96,2.01,10.98,11.55,13.19,15.59
600085,2022,3,0.89,0.94,1.01,2.62,12.26,12.85,13.83,20.04
600089,2020,5,0.57,0.61,0.70,1.66,21.33,22.82,25.86,29.13
600089,2021,5,0.61,0.70,0.85,2.05,22.48,25.84,31.58,34.82
600089,2022,4,0.63,0.78,1.02,2.48,23.24,28.73,37.79,38.43
600104,2020,33,1.71,1.99,2.95,1.11,200.23,232.07,344.66,34.51
600104,2021,32,1.98,2.34,3.03,1.35,230.91,272.81,354.14,41.23
600104,2022,30,2.17,2.60,3.28,1.60,253.95,303.61,382.66,49.72
600109,2020,6,0.42,0.46,0.49,0.77,12.59,13.94,14.82,70.53
600109,2021,6,0.43,0.50,0.56,0.88,13.11,15.14,16.94,80.82
600109,2022,3,0.46,0.54,0.60,1.02,13.89,16.19,18.06,93.74
600111,2020,1,0.14,0.14,0.14,0.54,5.14,5.14,5.14,6.15
600111,2021,1,0.18,0.18,0.18,0.78,6.45,6.45,6.45,8.31
600115,2020,15,-0.59,-0.10,0.45,0.35,-96.40,-15.86,73.71,0.62
600115,2021,15,0.16,0.43,0.53,1.25,25.51,69.67,86.18,42.34
600115,2022,11,0.21,0.48,0.55,1.46,34.68,79.40,90.89,50.97
600118,2020,13,0.29,0.39,0.54,1.17,3.45,4.63,6.39,14.35
600118,2021,10,0.33,0.43,0.56,1.54,3.86,5.07,6.62,18.79
600118,2022,6,0.38,0.46,0.58,1.94,4.47,5.42,6.90,24.60
600153,2020,7,1.62,1.77,1.92,1.52,45.90,50.15,54.57,14.86
600153,2021,7,1.44,1.81,2.13,1.80,40.80,51.48,60.39,17.26
600153,2022,5,1.65,1.98,2.34,2.32,46.68,56.05,66.29,19.84
600170,2020,9,0.41,0.45,0.49,0.95,36.36,40.46,43.77,143.44
600170,2021,9,0.47,0.51,0.55,1.07,41.41,45.31,48.61,156.81
600170,2022,9,0.51,0.56,0.62,1.21,45.61,50.12,55.15,188.75
600176,2020,22,0.54,0.63,0.72,1.68,18.92,22.17,25.21,39.40
600176,2021,22,0.68,0.76,0.91,1.95,23.99,26.66,32.02,44.04
600176,2022,18,0.74,0.88,1.01,2.25,25.97,30.59,35.44,50.37
600177,2020,2,0.86,0.93,1.01,0.74,39.60,43.12,46.63,7.64
600177,2021,2,0.94,1.02,1.10,0.84,43.42,47.28,51.14,9.24
600177,2022,1,1.01,1.01,1.01,0.99,46.92,46.92,46.92,10.68
600183,2020,21,0.74,0.83,1.00,1.17,16.86,18.96,21.75,14.35
600183,2021,21,0.83,1.02,1.23,1.54,18.81,23.11,26.78,18.79
600183,2022,16,0.95,1.21,1.32,1.94,21.68,27.68,30.61,24.60
600188,2020,11,0.98,1.51,1.88,0.99,47.99,73.77,92.44,89.50
600188,2021,11,1.13,1.58,1.86,1.12,55.04,77.34,91.45,101.02
600188,2022,8,1.32,1.65,1.81,1.16,64.33,80.94,88.97,106.79
600196,2020,11,1.31,1.40,1.45,1.56,33.69,35.90,37.16,12.54
600196,2021,10,1.50,1.66,1.78,2.01,39.55,42.69,45.64,15.59
600196,2022,9,1.83,1.99,2.16,2.62,46.87,51.04,55.36,20.04
600208,2020,2,0.33,0.39,0.45,2.28,28.04,33.58,39.11,134.53
600208,2021,2,0.41,0.48,0.55,2.73,35.06,41.05,47.04,157.75
600208,2022,1,0.51,0.51,0.51,3.30,43.50,43.50,43.50,189.18
600219,2020,7,0.10,0.14,0.17,0.54,11.64,16.42,20.36,6.15
600219,2021,7,0.15,0.17,0.21,0.78,17.68,20.41,24.68,8.31
600219,2022,7,0.18,0.20,0.25,0.97,21.29,23.50,30.02,10.71
600233,2020,16,0.56,0.66,0.78,1.11,17.57,20.74,24.77,34.68
600233,2021,16,0.57,0.73,0.89,1.29,18.09,22.86,28.10,40.39
600233,2022,15,0.60,0.80,0.95,1.45,18.96,25.07,30.21,45.76
600271,2020,8,0.70,0.86,1.20,1.17,13.09,16.08,22.36,14.35
600271,2021,8,0.78,0.98,1.39,1.54,14.44,18.34,25.92,18.79
600271,2022,6,0.93,1.11,1.44,1.94,17.35,20.58,26.84,24.60
600276,2020,25,1.23,1.29,1.33,1.56,65.47,68.46,70.31,12.54
600276,2021,24,1.56,1.66,1.74,2.01,82.59,88.13,92.43,15.59
600276,2022,23,1.87,2.11,2.23,2.62,99.10,111.89,118.52,20.04
600297,2020,12,0.25,0.33,0.43,0.96,20.48,26.68,35.25,10.42
600297,2021,11,0.29,0.40,0.50,1.21,23.57,32.45,40.69,13.16
600297,2022,8,0.32,0.47,0.73,1.49,26.25,37.74,59.21,16.63
600299,2020,17,0.41,0.53,0.72,1.56,10.94,14.16,19.36,12.54
600299,2021,16,0.45,0.60,0.89,2.01,12.17,16.12,23.87,15.59
600299,2022,14,0.54,0.70,1.07,2.62,14.38,18.89,28.71,20.04
600309,2020,37,2.23,2.90,5.57,1.20,70.08,91.35,174.88,11.21
600309,2021,36,3.18,4.11,5.12,1.56,99.73,129.47,160.67,14.81
600309,2022,32,3.78,4.79,6.11,1.97,118.60,150.99,191.96,18.87
600332,2020,1,2.20,2.20,2.20,1.56,35.79,35.79,35.79,12.54
600332,2021,1,2.54,2.54,2.54,2.01,41.26,41.26,41.26,15.59
600340,2020,16,4.60,5.91,6.35,2.28,167.31,180.69,191.33,134.53
600340,2021,16,5.61,6.93,7.91,2.73,184.01,212.06,238.22,157.75
600340,2022,14,6.52,7.87,9.62,3.30,196.48,241.34,289.95,189.18
600346,2020,23,1.44,1.75,2.36,1.06,101.12,123.22,166.12,33.97
600346,2021,22,1.67,2.08,2.78,1.32,117.79,146.66,195.75,40.52
600346,2022,17,1.83,2.29,2.96,1.60,128.71,160.78,208.24,47.26
600352,2020,12,1.32,1.55,1.79,1.20,42.82,50.29,58.17,11.21
600352,2021,11,1.39,1.70,1.98,1.56,45.21,55.36,64.39,14.81
600352,2022,8,1.74,1.91,2.19,1.97,56.75,62.27,71.29,18.87
600362,2020,13,0.45,0.68,0.97,0.54,15.55,23.48,33.64,6.15
600362,2021,10,0.55,0.79,1.06,0.78,19.05,27.31,36.56,8.31
600362,2022,7,0.73,0.88,0.96,0.97,25.36,30.63,33.37,10.71
600372,2020,17,0.34,0.36,0.40,0.61,6.03,6.49,7.50,17.97
600372,2021,15,0.39,0.42,0.48,0.75,6.91,7.49,8.50,19.43
600372,2022,10,0.46,0.49,0.53,0.97,8.05,8.73,9.90,24.07
600383,2020,25,2.52,2.65,2.77,2.28,113.75,119.74,125.09,134.53
600383,2021,24,2.96,3.13,3.40,2.73,133.71,141.26,153.33,157.75
600383,2022,19,3.31,3.65,4.12,3.30,149.62,164.85,186.20,189.18
600390,2020,1,0.66,0.66,0.66,0.55,29.58,29.58,29.58,23.34
600390,2021,1,0.77,0.77,0.77,0.60,34.56,34.56,34.56,25.84
600390,2022,1,0.85,0.85,0.85,0.65,38.17,38.17,38.17,25.37
600398,2020,13,0.54,0.56,0.58,0.74,23.82,24.75,25.85,7.64
600398,2021,13,0.65,0.72,0.78,0.84,28.93,31.84,34.68,9.24
600398,2022,12,0.75,0.83,0.92,0.99,33.06,36.51,40.48,10.68
600406,2020,22,1.03,1.12,1.20,0.94,47.61,51.67,55.37,6.48
600406,2021,21,1.24,1.30,1.44,1.25,57.22,60.02,66.75,8.42
600406,2022,19,1.38,1.49,1.72,1.61,63.95,68.78,79.59,10.71
600436,2020,18,2.62,2.93,3.31,1.56,15.83,17.68,19.96,12.54
600436,2021,18,3.15,3.64,4.10,2.01,18.99,21.95,24.72,15.59
600436,2022,13,4.09,4.36,4.99,2.62,24.66,26.32,30.11,20.04
600438,2020,40,0.55,0.70,0.91,1.52,23.72,29.81,38.86,28.77
600438,2021,39,0.79,0.94,1.22,1.82,33.82,40.31,52.32,33.72
600438,2022,32,0.95,1.16,1.41,2.00,41.27,49.89,60.51,32.83
600482,2020,2,0.33,0.41,0.50,0.61,7.05,8.94,10.83,17.97
600482,2021,2,0.41,0.48,0.55,0.75,8.85,10.36,11.87,19.43
600482,2022,2,0.51,0.55,0.60,0.97,10.99,11.94,12.89,24.07
600487,2020,6,0.81,0.96,1.11,1.66,15.78,18.69,21.75,29.13
600487,2021,5,1.05,1.18,1.35,2.05,20.46,23.10,26.35,34.82
600487,2022,3,1.39,1.53,1.67,2.48,27.10,29.87,32.53,38.43
600489,2020,5,0.06,0.10,0.23,0.37,2.62,4.82,10.87,19.17
600489,2021,5,0.07,0.12,0.24,0.48,3.03,5.66,11.09,25.17
600498,2020,14,0.71,0.93,1.14,1.17,8.29,10.90,13.36,14.35
600498,2021,14,0.89,1.18,1.48,1.54,10.40,13.75,17.30,18.79
600498,2022,8,1.26,1.38,1.55,1.94,14.79,16.15,18.15,24.60
600516,2020,1,0.79,0.79,0.79,1.68,21.54,21.54,21.54,39.40
600516,2021,1,0.58,0.58,0.58,1.95,22.00,22.00,22.00,44.04
600516,2022,1,0.62,0.62,0.62,2.25,23.72,23.72,23.72,50.37
600519,2020,39,35.33,37.59,39.50,6.13,443.77,472.19,496.20,86.64
600519,2021,39,37.73,44.90,49.61,7.40,473.97,564.03,623.15,104.53
600519,2022,37,42.55,52.15,61.28,9.40,534.54,655.13,769.81,132.63
600522,2020,10,0.71,0.77,0.79,1.66,21.77,23.38,24.32,29.13
600522,2021,9,0.89,0.98,1.12,2.05,27.26,30.14,34.26,34.82
