code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
848,C15,18.52,3.61,34.72,7.25,2020-05-29
869,C15,21.89,1.88,34.72,7.25,2020-05-29
877,C30,9.01,1.35,15.28,2.23,2020-05-29
878,C32,25.97,1.83,32.73,1.88,2020-05-29
883,D44,14.85,0.83,17.02,1.24,2020-05-29
887,C29,20.38,1.05,29.08,2.63,2020-05-29
930,C26,20.05,1.28,23.35,2.06,2020-05-29
932,C31,6.07,0.79,10.69,0.85,2020-05-29
937,B06,11.47,0.51,7.61,0.82,2020-05-29
959,C31,13.5,0.59,10.69,0.85,2020-05-29
960,C32,19.65,1.1,32.73,1.88,2020-05-29
967,N77,20.37,1.64,23.45,1.74,2020-05-29
970,C39,65.11,2.4,41.54,3.93,2020-05-29
975,B09,32.76,3.4,39.67,2.37,2020-05-29
