code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
2142,J66,10.74,1.45,5.89,0.63,2020-05-29
2146,K70,3.67,0.81,8.07,1.15,2020-05-29
2153,I65,95.17,3.68,61.63,4.92,2020-05-29
2179,C39,38.43,4.58,41.54,3.93,2020-05-29
2202,C34,13.96,1.27,28.85,1.96,2020-05-29
2230,I65,119.9,6.21,61.63,4.92,2020-05-29
2236,C39,14.01,2.79,41.54,3.93,2020-05-29
2241,C39,50.26,4.33,41.54,3.93,2020-05-29
2252,C27,42.66,2.21,43.1,4.17,2020-05-29
2271,C30,29.24,5.32,15.28,2.23,2020-05-29
2294,C27,38.34,3.2,43.1,4.17,2020-05-29
2304,C15,21.59,3.97,34.72,7.25,2020-05-29
2311,C13,41.8,7.74,25.36,4.13,2020-05-29
2352,G60,36.98,4.61,33.23,4.13,2020-05-29
2410,I65,278.59,19.1,61.63,4.92,2020-05-29
2411,C27,35.42,1.06,43.1,4.17,2020-05-29
2415,C39,20.74,5.53,41.54,3.93,2020-05-29
2422,C27,47.3,2.25,43.1,4.17,2020-05-29
2456,C39,42.12,3.98,41.54,3.93,2020-05-29
2460,C32,569.89,7.59,32.73,1.88,2020-05-29
2466,C32,--,4.83,32.73,1.88,2020-05-29
2468,G60,26.18,3.02,33.23,4.13,2020-05-29
2475,C39,46.86,11,41.54,3.93,2020-05-29
2493,C28,25.83,3.07,13.75,2.1,2020-05-29
2508,C38,21.31,4.54,25.9,3.02,2020-05-29
2555,I64,30.06,9.19,34.64,4.24,2020-05-29
2558,I64,39.15,4.07,34.64,4.24,2020-05-29
2594,C36,160.25,2.76,20.65,1.51,2020-05-29
2601,C26,11.05,2.14,23.35,2.06,2020-05-29
2602,I65,37.3,2.93,61.63,4.92,2020-05-29
2607,P82,99.92,87.13,95.58,18.62,2020-05-29
2624,I64,34.83,5.6,34.64,4.24,2020-05-29
2673,J67,98.92,1.56,24.97,1.56,2020-05-29
2714,A03,24.56,9.62,13.57,4.67,2020-05-29
2736,J67,19.68,1.53,24.97,1.56,2020-05-29
2739,R86,--,2.6,46.73,2.1,2020-05-29
2773,C27,45.55,6.25,43.1,4.17,2020-05-29
2841,C39,37.73,11.7,41.54,3.93,2020-05-29
2916,C39,54.23,13.57,41.54,3.93,2020-05-29
2938,C39,31.87,4.81,41.54,3.93,2020-05-29
2939,J67,33.97,2.1,24.97,1.56,2020-05-29
2945,J67,71.23,6.64,24.97,1.56,2020-05-29
2958,J66,8.11,0.93,5.89,0.63,2020-05-29
300003,C35,40.77,7.86,38.13,3.78,2020-05-29
300015,Q83,135.98,23.61,98.33,10.32,2020-05-29
300017,I65,1682.55,2.18,61.63,4.92,2020-05-29
300024,C34,75.17,3.1,28.85,1.96,2020-05-29
300033,I65,62.41,15.72,61.63,4.92,2020-05-29
300059,J67,49.13,4.95,24.97,1.56,2020-05-29
300070,N77,18.33,1.24,23.45,1.74,2020-05-29
300122,C27,56.32,21.41,43.1,4.17,2020-05-29
300124,C38,56.61,6.69,25.9,3.02,2020-05-29
300136,C39,44.91,7.9,41.54,3.93,2020-05-29
300142,C27,769.15,13.33,43.1,4.17,2020-05-29
300144,R87,46.88,4.97,61.95,5.99,2020-05-29
300347,Q83,66.86,14.07,98.33,10.32,2020-05-29
300408,C39,41.8,4.46,41.54,3.93,2020-05-29
300413,R87,77.46,10.19,61.95,5.99,2020-05-29
300433,C39,20.72,2.93,41.54,3.93,2020-05-29
300498,A03,8.6,2.99,13.57,4.67,2020-05-29
600006,C36,26.91,1.09,20.65,1.51,2020-05-29
600008,D46,17.76,0.8,16.1,1.13,2020-05-29
600017,G55,13.3,0.64,13.23,1.1,2020-05-29
600021,D44,23.01,1,17.02,1.24,2020-05-29
600022,C31,29.68,0.66,10.69,0.85,2020-05-29
600026,G55,48.9,0.91,13.23,1.1,2020-05-29
600037,I63,40.71,1.06,41.83,1.42,2020-05-29
600039,E48,8.93,0.92,7.31,0.73,2020-05-29
600053,J69,18.51,4.18,17.79,1.31,2020-05-29
600056,C27,17.16,1.55,43.1,4.17,2020-05-29
600058,F51,64.71,0.99,15.86,1.37,2020-05-29
600060,C39,30.85,1.23,41.54,3.93,2020-05-29
600062,C27,12.82,1.45,43.1,4.17,2020-05-29
600064,K70,7.24,0.92,8.07,1.15,2020-05-29
600073,C14,26.05,2.1,45.97,6.56,2020-05-29
600079,C27,39.78,3.16,43.1,4.17,2020-05-29
600094,K70,21.98,1.2,8.07,1.15,2020-05-29
600098,D44,19.55,0.89,17.02,1.24,2020-05-29
600120,J69,34.8,1.24,17.79,1.31,2020-05-29
600125,G53,15.11,1.17,--,1.29,2020-05-29
600126,C31,53.28,1.74,10.69,0.85,2020-05-29
600132,C15,49.33,20.55,34.72,7.25,2020-05-29
600138,L72,23.7,1.14,33.68,2.7,2020-05-29
600141,C26,65.8,1.13,23.35,2.06,2020-05-29
600143,C29,28.03,3.05,29.08,2.63,2020-05-29
600150,C37,43.82,1.81,30.04,1.79,2020-05-29
600155,J67,152.62,1.29,24.97,1.56,2020-05-29
600158,K70,102.61,4.03,8.07,1.15,2020-05-29
600160,C26,33.02,1.38,23.35,2.06,2020-05-29
600161,C27,65.82,9.89,43.1,4.17,2020-05-29
600166,C36,--,0.78,20.65,1.51,2020-05-29
600167,D44,20.17,4.08,17.02,1.24,2020-05-29
600171,C39,68.75,4.04,41.54,3.93,2020-05-29
600195,C27,40.62,2.85,43.1,4.17,2020-05-29
600201,C27,126.32,5.62,43.1,4.17,2020-05-29
600216,C27,43.45,1.94,43.1,4.17,2020-05-29
600256,B07,12.58,1.1,30.01,0.67,2020-05-29
600258,H61,57.46,1.94,--,1.91,2020-05-29
600259,B09,340.25,5.92,39.67,2.37,2020-05-29
600260,C39,19.85,2.13,41.54,3.93,2020-05-29
600266,K70,58.72,0.46,8.07,1.15,2020-05-29
600273,C26,10.54,1.65,23.35,2.06,2020-05-29
600277,C26,12.76,0.59,23.35,2.06,2020-05-29
600282,C31,5.39,0.7,10.69,0.85,2020-05-29
600291,J68,--,0.83,10.92,1.68,2020-05-29
600298,C14,36,6.73,45.97,6.56,2020-05-29
600307,C31,10.13,0.81,10.69,0.85,2020-05-29
600312,C38,45.29,1.13,25.9,3.02,2020-05-29
600315,C26,58.46,4.09,23.35,2.06,2020-05-29
600316,C37,85.76,2.02,30.04,1.79,2020-05-29
600317,G55,13.65,1.09,13.23,1.1,2020-05-29
600325,K70,4.94,0.66,8.07,1.15,2020-05-29
600329,C27,20.01,2.18,43.1,4.17,2020-05-29
600335,F51,20.12,0.68,15.86,1.37,2020-05-29
600338,B09,12.72,2.72,39.67,2.37,2020-05-29
600339,B11,39.62,0.55,28.95,1.49,2020-05-29
600348,B06,7.05,0.47,7.61,0.82,2020-05-29
600350,G54,12.39,0.82,16.04,1.04,2020-05-29
600373,R85,9.69,1.07,15.51,1.35,2020-05-29
600376,K70,5.83,0.53,8.07,1.15,2020-05-29
600380,C27,28.53,2.33,43.1,4.17,2020-05-29
600388,C35,11.53,1.61,38.13,3.78,2020-05-29
600392,C32,177.86,2.62,32.73,1.88,2020-05-29
600409,C26,31.87,0.8,23.35,2.06,2020-05-29
600410,I65,66.27,2.98,61.63,4.92,2020-05-29
600415,L72,14.22,1.42,33.68,2.7,2020-05-29
600418,C36,--,1.36,20.65,1.51,2020-05-29
600426,C26,12.84,1.96,23.35,2.06,2020-05-29
600428,G55,85.16,0.66,13.23,1.1,2020-05-29
600435,C39,351.59,5.35,41.54,3.93,2020-05-29
600446,I65,62.45,7.57,61.63,4.92,2020-05-29
600460,C39,--,5.51,41.54,3.93,2020-05-29
600466,K70,4.44,0.78,8.07,1.15,2020-05-29
600478,C38,--,2.57,25.9,3.02,2020-05-29
600486,C26,21.28,4.97,23.35,2.06,2020-05-29
600497,B09,30.01,1.18,39.67,2.37,2020-05-29
600499,C35,196.07,1.36,38.13,3.78,2020-05-29
600500,C26,59.76,1.06,23.35,2.06,2020-05-29
600507,C31,7.28,1.59,10.69,0.85,2020-05-29
600511,F51,15.17,2.18,15.86,1.37,2020-05-29
600515,K70,--,1,8.07,1.15,2020-05-29
600521,C27,54.09,6.07,43.1,4.17,2020-05-29
600528,C35,12.94,1.09,38.13,3.78,2020-05-29
600536,I65,10090.89,18.79,61.63,4.92,2020-05-29
600545,C35,22.28,1.94,38.13,3.78,2020-05-29
600549,C32,48.69,2.35,32.73,1.88,2020-05-29
600557,C27,16.5,1.95,43.1,4.17,2020-05-29
600563,C39,26.76,4.42,41.54,3.93,2020-05-29
600565,K70,5.09,0.73,8.07,1.15,2020-05-29
600567,C22,11.79,0.94,17.95,1.58,2020-05-29
600572,C27,--,2.93,43.1,4.17,2020-05-29
600575,G55,11.5,1,13.23,1.1,2020-05-29
600580,C38,18.37,2.15,25.9,3.02,2020-05-29
600582,C35,10.84,0.7,38.13,3.78,2020-05-29
600584,C39,173,3.61,41.54,3.93,2020-05-29
600597,C14,44.48,3.48,45.97,6.56,2020-05-29
600598,A01,27.85,3.78,43.97,3.1,2020-05-29
600623,C26,95.69,0.6,23.35,2.06,2020-05-29
600633,I64,26.86,1.47,34.64,4.24,2020-05-29
600639,K70,12.56,1.6,8.07,1.15,2020-05-29
600640,I64,228.56,2.92,34.64,4.24,2020-05-29
600642,D45,12.07,0.88,21.41,1.66,2020-05-29
600643,J69,9.3,1.13,17.79,1.31,2020-05-29
600645,M73,381.04,2.83,104.38,8.52,2020-05-29
600648,F51,39.6,1.46,15.86,1.37,2020-05-29
600649,K70,39.77,0.7,8.07,1.15,2020-05-29
600657,K70,3.92,0.49,8.07,1.15,2020-05-29
600664,C27,603.49,1.69,43.1,4.17,2020-05-29
600673,S90,19.87,2.73,21.67,1.56,2020-05-29
600694,F52,12.89,0.8,21.46,1.78,2020-05-29
600699,C36,33.78,1.95,20.65,1.51,2020-05-29
600704,F51,9.24,0.87,15.86,1.37,2020-05-29
600707,C39,--,0.7,41.54,3.93,2020-05-29
600717,G55,19.07,0.66,13.23,1.1,2020-05-29
600718,I65,--,1.6,61.63,4.92,2020-05-29
600728,I65,36.36,3.13,61.63,4.92,2020-05-29
600729,F52,18.49,1.96,21.46,1.78,2020-05-29
600737,C13,32.45,2.1,25.36,4.13,2020-05-29
600739,F51,34.36,1.15,15.86,1.37,2020-05-29
600745,C39,66.24,5.07,41.54,3.93,2020-05-29
600748,K70,12.01,0.81,8.07,1.15,2020-05-29
600751,F51,13.68,0.63,15.86,1.37,2020-05-29
600754,H61,26.99,1.96,--,1.91,2020-05-29
600755,F51,5.6,0.45,15.86,1.37,2020-05-29
600757,R85,9.67,0.87,15.51,1.35,2020-05-29
600759,B07,296.74,0.81,30.01,0.67,2020-05-29
600763,Q83,130.04,25.76,98.33,10.32,2020-05-29
600765,C34,31.1,1.45,28.85,1.96,2020-05-29
600770,S90,101.25,1.9,21.67,1.56,2020-05-29
600776,C39,155.1,6,41.54,3.93,2020-05-29
600777,S90,5.54,0.63,21.67,1.56,2020-05-29
600779,C15,30.82,10.69,34.72,7.25,2020-05-29
600782,C31,4.09,0.59,10.69,0.85,2020-05-29
600787,G59,33.34,0.86,32.08,1.44,2020-05-29
600801,C30,9.16,2.42,15.28,2.23,2020-05-29
600804,I64,--,12.72,34.64,4.24,2020-05-29
600808,C31,14.19,0.74,10.69,0.85,2020-05-29
600811,F51,22.45,0.67,15.86,1.37,2020-05-29
600820,E48,9.94,0.89,7.31,0.73,2020-05-29
600823,K70,6.76,0.63,8.07,1.15,2020-05-29
600827,F52,26.57,0.99,21.46,1.78,2020-05-29
600835,C34,16.31,1.34,28.85,1.96,2020-05-29
600839,C39,--,0.95,41.54,3.93,2020-05-29
600845,I65,68.98,9.96,61.63,4.92,2020-05-29
600859,F52,52.43,1.67,21.46,1.78,2020-05-29
600862,C37,35.7,5.1,30.04,1.79,2020-05-29
600863,D44,14.03,1.05,17.02,1.24,2020-05-29
600869,C38,--,1.84,25.9,3.02,2020-05-29
600874,D46,17.65,1.52,16.1,1.13,2020-05-29
600875,C34,20.72,0.91,28.85,1.96,2020-05-29
600879,C35,43.09,1.42,38.13,3.78,2020-05-29
600881,C30,--,0.65,15.28,2.23,2020-05-29
600884,C38,85.45,1.16,25.9,3.02,2020-05-29
600885,C38,36.55,4.97,25.9,3.02,2020-05-29
600895,K70,33.99,2.51,8.07,1.15,2020-05-29
600901,J66,9.51,1.3,5.89,0.63,2020-05-29
600903,D45,67.89,4.25,21.41,1.66,2020-05-29
600908,J66,7.2,0.77,5.89,0.63,2020-05-29
600909,J67,27.11,1.83,24.97,1.56,2020-05-29
600917,D45,30.86,2.64,21.41,1.66,2020-05-29
600939,E47,17.01,0.79,--,--,2020-05-29
600959,I63,71.57,0.84,41.83,1.42,2020-05-29
600967,C37,28.63,1.78,30.04,1.79,2020-05-29
600970,E48,6.42,0.95,7.31,0.73,2020-05-29
600985,B06,5.46,0.96,7.61,0.82,2020-05-29
600996,I63,132.87,1.78,41.83,1.42,2020-05-29
601000,G55,7.43,0.75,13.23,1.1,2020-05-29
601001,B06,6.8,0.95,7.61,0.82,2020-05-29
601003,C31,5.25,0.97,10.69,0.85,2020-05-29
601005,C31,14.76,0.6,10.69,0.85,2020-05-29
601016,D44,14.64,1.2,17.02,1.24,2020-05-29
601019,R85,9.16,1.24,15.51,1.35,2020-05-29
601068,E48,--,1.12,7.31,0.73,2020-05-29
601098,R85,16.22,1.38,15.51,1.35,2020-05-29
601099,J67,103.32,2.04,24.97,1.56,2020-05-29
601100,C35,49.27,10.94,38.13,3.78,2020-05-29
601106,C35,135.4,1.7,38.13,3.78,2020-05-29
601118,A01,--,2.51,43.97,3.1,2020-05-29
601127,C36,152.52,1.6,20.65,1.51,2020-05-29
601128,J66,10.74,1.13,5.89,0.63,2020-05-29
601139,D45,19.18,1.77,21.41,1.66,2020-05-29
601168,B09,15.8,1.31,39.67,2.37,2020-05-29
601179,C38,72.29,1.31,25.9,3.02,2020-05-29
601200,N77,17.65,1.57,23.45,1.74,2020-05-29
601228,G55,22.75,1.39,13.23,1.1,2020-05-29
601231,C39,30.72,3.59,41.54,3.93,2020-05-29
601233,C28,8.1,1.14,13.75,2.1,2020-05-29
601326,G55,13.9,1,13.23,1.1,2020-05-29
601333,G53,--,0.54,--,1.29,2020-05-29
601598,G58,9.88,0.85,16.89,1.56,2020-05-29
601608,C35,119.86,2.07,38.13,3.78,2020-05-29
601611,E48,14.13,1.03,7.31,0.73,2020-05-29
601615,C34,20.17,2.28,28.85,1.96,2020-05-29
601678,C26,20.34,1.09,23.35,2.06,2020-05-29
601689,C36,55.3,3.37,20.65,1.51,2020-05-29
601699,B06,7.53,0.64,7.61,0.82,2020-05-29
601717,C35,8.34,0.71,38.13,3.78,2020-05-29
601718,C18,198.09,0.8,16.64,1.58,2020-05-29
601799,C36,38.61,5.96,20.65,1.51,2020-05-29
601801,R85,20.39,0.94,15.51,1.35,2020-05-29
601811,R85,12.04,1.42,15.51,1.35,2020-05-29
601860,J66,9.83,1,5.89,0.63,2020-05-29
601865,C30,30.84,5.37,15.28,2.23,2020-05-29
601866,G55,14.39,0.88,13.23,1.1,2020-05-29
601869,C39,41.68,2.57,41.54,3.93,2020-05-29
601872,G55,15.36,1.51,13.23,1.1,2020-05-29
601880,G55,26.68,1.15,13.23,1.1,2020-05-29
